"",NSC,CONCUNIT,LCONC,PANEL,CELL,NLOGGI50
"5193",648778,M,-4,Colon,HCC2998,6.926
"5194",648778,M,-4,Colon,HCT116,7.175
"5195",648778,M,-4,Colon,HCT15,6.108
"5196",648778,,,,HL60,
"5197",648778,M,-4,Non-Small Cell Lung,HOP62,5.353
"5198",648778,M,-4,Non-Small Cell Lung,HOP92,6.118
"5199",648778,,,,HS578T,
"5200",648778,M,-4,Colon,HT29,7.292
"5201",648778,M,-4,Ovarian,IGROV1,6.464
"5202",648778,M,-4,Leukemia,K562,7.353
"5203",648778,M,-4,Colon,KM12,7.16
"5204",648778,M,-4,Melanoma,LOXIMVI,7.131
"5205",648778,M,-4,Melanoma,M14,7.217
"5206",648778,M,-4,Melanoma,MALME3M,7.131
"5207",648778,,,,MCF7,
"5208",648778,,,,MDAMB231,
"5209",648778,,,,MDAMB435,
"5210",648778,,,,MDAMB468,
"5211",648778,M,-4,Leukemia,MOLT4,6.948
"5212",648778,,,,NCIADRRES,
"5213",648778,M,-4,Non-Small Cell Lung,NCIH226,6.892
"5214",648778,M,-4,Non-Small Cell Lung,NCIH23,6.881
"5215",648778,M,-4,Non-Small Cell Lung,NCIH322M,6.906
"5216",648778,M,-4,Non-Small Cell Lung,NCIH460,7.209
"5217",648778,M,-4,Non-Small Cell Lung,NCIH522,7.259
"5218",648778,M,-4,Ovarian,OVCAR3,7.269
"5219",648778,M,-4,Ovarian,OVCAR4,5.415
"5220",648778,M,-4,Ovarian,OVCAR5,5.215
"5221",648778,M,-4,Ovarian,OVCAR8,7.187
"5222",648778,,,,PC3,
"5223",648778,M,-4,Leukemia,RPMI8226,7.144
"5224",648778,M,-4,Renal,RXF393,7.48
"5225",648778,M,-4,Central Nervous System,SF268,6.864
"5226",648778,M,-4,Central Nervous System,SF295,7.219
"5227",648778,M,-4,Central Nervous System,SF539,7.245
"5228",648778,M,-4,Melanoma,SKMEL2,6.474
"5229",648778,M,-4,Melanoma,SKMEL28,6.721
"5230",648778,M,-4,Melanoma,SKMEL5,7.139
"5231",648778,M,-4,Ovarian,SKOV3,7.685
"5232",648778,M,-4,Renal,SN12C,7.104
"5233",648778,M,-4,Central Nervous System,SNB19,5.874
"5234",648778,M,-4,Central Nervous System,SNB75,6.544
"5235",648778,M,-4,Leukemia,SR,6.568
"5236",648778,M,-4,Colon,SW620,7.274
"5237",648778,,,,T47D,
"5238",648778,M,-4,Renal,TK10,5.319
"5239",648778,M,-4,Central Nervous System,U251,7.079
"5240",648778,M,-4,Melanoma,UACC257,6.313
"5241",648778,M,-4,Melanoma,UACC62,7.248
"5242",657321,M,-4,Renal,7860,5.289
"5243",657321,M,-4,Renal,A498,4.738
"5244",657321,,,,A549,
"5245",657321,M,-4,Renal,ACHN,5.463
"5246",657321,M,-4,Breast,BT549,5.495
