"",DRUG_ID,COSMIC_ID,LN_IC50,MAX_CONC_MICROMOLAR,Cell_Line,Drug_Name,Synonyms
"283",1026,1298534,3.71290121,1,QGP1,TANESPIMYCIN,"17-AAG, BMS-722782"
"284",1026,909262,2.04350232,1,RAJI,TANESPIMYCIN,"17-AAG, BMS-722782"
"285",,,,,RD,TANESPIMYCIN,
"286",1026,909696,2.08429917,1,REH,TANESPIMYCIN,"17-AAG, BMS-722782"
"287",1026,1240209,2.54818643,1,RERFGC1B,TANESPIMYCIN,"17-AAG, BMS-722782"
"288",1026,910931,-0.45723406,1,RERFLCMS,TANESPIMYCIN,"17-AAG, BMS-722782"
"289",1026,1298539,0.6910263,1,RKN,TANESPIMYCIN,"17-AAG, BMS-722782"
"290",1026,909698,-2.02791589,1,RKO,TANESPIMYCIN,"17-AAG, BMS-722782"
"291",,,,,RL952,TANESPIMYCIN,
"292",1026,910903,-4.60047795,1,RPMI7951,TANESPIMYCIN,"17-AAG, BMS-722782"
"293",1026,909702,1.83539978,1,RPMI8402,TANESPIMYCIN,"17-AAG, BMS-722782"
"294",,,,,RT112,TANESPIMYCIN,
"295",1026,687455,-0.66766972,1,RT4,TANESPIMYCIN,"17-AAG, BMS-722782"
"296",1026,909706,-1.53326477,1,RVH421,TANESPIMYCIN,"17-AAG, BMS-722782"
"297",1026,909707,0.07158702,1,SAOS2,TANESPIMYCIN,"17-AAG, BMS-722782"
"298",1026,713880,-1.71162883,1,SBC5,TANESPIMYCIN,"17-AAG, BMS-722782"
"299",1026,1299051,-2.57094814,1,SCABER,TANESPIMYCIN,"17-AAG, BMS-722782"
"300",1026,910701,-1.40467671,1,SCC25,TANESPIMYCIN,"17-AAG, BMS-722782"
"301",1026,909709,-1.71911769,1,SCC9,TANESPIMYCIN,"17-AAG, BMS-722782"
"302",1026,909712,0.84686057,1,SF126,TANESPIMYCIN,"17-AAG, BMS-722782"
"303",1026,905985,-2.59837092,1,SF295,TANESPIMYCIN,"17-AAG, BMS-722782"
"304",1026,724872,-0.16628463,1,SHP77,TANESPIMYCIN,"17-AAG, BMS-722782"
"305",,,,,SIGM5,TANESPIMYCIN,
"306",1026,753620,2.99119366,1,SIMA,TANESPIMYCIN,"17-AAG, BMS-722782"
"307",1026,909716,0.51129266,1,SJRH30,TANESPIMYCIN,"17-AAG, BMS-722782"
"308",1026,909717,-1.39362477,1,SJSA1,TANESPIMYCIN,"17-AAG, BMS-722782"
"309",1026,909718,-2.71090389,1,SKCO1,TANESPIMYCIN,"17-AAG, BMS-722782"
"310",1026,684072,0.4014941,1,SKES1,TANESPIMYCIN,"17-AAG, BMS-722782"
"311",1026,909719,0.40672413,1,SKHEP1,TANESPIMYCIN,"17-AAG, BMS-722782"
"312",1026,909720,-0.45645698,1,SKLMS1,TANESPIMYCIN,"17-AAG, BMS-722782"
"313",1026,909721,-3.05254162,1,SKLU1,TANESPIMYCIN,"17-AAG, BMS-722782"
"314",1026,905955,-2.1667398,1,SKMEL2,TANESPIMYCIN,"17-AAG, BMS-722782"
"315",,,,,SKMEL24,TANESPIMYCIN,
"316",1026,909726,-0.21328975,1,SKMEL30,TANESPIMYCIN,"17-AAG, BMS-722782"
"317",1026,909727,1.20116854,1,SKMEL31,TANESPIMYCIN,"17-AAG, BMS-722782"
"318",1026,905956,-0.11926029,1,SKMEL5,TANESPIMYCIN,"17-AAG, BMS-722782"
"319",1026,909728,-3.20000596,1,SKMES1,TANESPIMYCIN,"17-AAG, BMS-722782"
"320",1026,753612,2.16803536,1,SKMM2,TANESPIMYCIN,"17-AAG, BMS-722782"
"321",1026,724828,1.6575523,1,SKNAS,TANESPIMYCIN,"17-AAG, BMS-722782"
"322",,,,,SKNDZ,TANESPIMYCIN,
"323",1026,688087,0.88133945,1,SKNFI,TANESPIMYCIN,"17-AAG, BMS-722782"
"324",1026,717431,1.66595079,1,SKNSH,TANESPIMYCIN,"17-AAG, BMS-722782"
