"",Cell_Line,Compound,Doses,IC50
"4564",BL70,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",6.465454578
"4565",BT20,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4566",BT474,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",6.84863472
"4567",BT549,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4568",BXPC3,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4569",C2BBE1,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4570",C32,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4571",C3A,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4572",CAL12T,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4573",CAL27,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4574",CAL78,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4575",CAL851,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4576",CALU3,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4577",CALU6,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4578",CAMA1,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4579",CAPAN2,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4580",CAS1,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4581",CCK81,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4582",CHL1,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4583",CHP212,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4584",COLO205,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4585",COLO678,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4586",COLO679,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",7.286690712
"4587",COLO741,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4588",CORL105,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4589",CORL23,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4590",DAOY,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4591",DBTRG05MG,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4592",DEL,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",1.974251866
"4593",DETROIT562,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4594",DKMG,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4595",DMS114,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4596",DOHH2,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",2.651649952
"4597",DOV13,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4598",DU145,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4599",EB2,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4600",EBC1,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",0.27125594
"4601",EFM19,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",7.446472168
"4602",EFO21,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4603",EFO27,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4604",EM2,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",6.589995384
"4605",EN,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4606",ES2,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4607",ESS1,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4608",FADU,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4609",FU97,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4610",FUOV1,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4611",G361,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",5.691830158
"4612",G401,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4613",G402,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4614",GAMG,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4615",GB1,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4616",GCIY,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4617",GCT,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4618",GI1,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4619",GMS10,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4620",GRANTA519,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4621",H4,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4622",HARA,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4623",HCC1187,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4624",HCC1395,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4625",HCC15,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4626",HCC1569,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4627",HCC1806,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4628",HCC1954,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4629",HCC44,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4630",HCC56,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4631",HCC70,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4632",HCC78,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4633",HCC827,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4634",HCT116,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4635",HCT15,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4636",HDMYZ,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4637",HDQP1,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4638",HGC27,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4639",HH,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4640",HLE,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4641",HOS,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4642",HPAC,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",0.054659581
"4643",HPAFII,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4644",HS578T,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4645",HS683,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4646",HS746T,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4647",HS766T,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4648",HS939T,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4649",HSC2,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4650",HT,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4651",HT1080,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4652",HT1197,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4653",HT1376,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4654",HT144,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4655",HT29,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4656",HUCCT1,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4657",HUH1,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4658",HUPT3,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4659",HUPT4,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4660",IALM,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4661",IGR37,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4662",IGROV1,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4663",IM95,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4664",IPC298,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4665",ISTMES1,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",3.788518667
"4666",J82,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4667",JHH2,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4668",JHH4,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4669",JHH6,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4670",JHH7,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4671",JHOS2,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4672",JHOS4,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4673",JM1,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4674",JURKAT,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",4.221210957
"4675",JVM3,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4676",KALS1,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4677",KARPAS299,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",3.045838118
"4678",KARPAS422,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",5.938162327
"4679",KARPAS620,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4680",KCL22,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4681",KELLY,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4682",KG1,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4683",KLE,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4684",KMRC1,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4685",KMS11,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4686",KMS12BM,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4687",KNS42,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4688",KNS62,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4689",KO52,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4690",KP1N,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4691",KP2,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4692",KP3,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4693",KP4,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",1.073863983
"4694",KU812,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4695",KURAMOCHI,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",3.98032403
"4696",KYM1,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4697",KYSE140,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4698",KYSE150,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4699",KYSE180,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4700",KYSE30,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4701",KYSE410,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4702",KYSE450,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4703",KYSE510,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4704",KYSE520,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4705",KYSE70,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4706",L363,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",4.469186783
"4707",L428,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4708",LCLC103H,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4709",LN18,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",3.491163015
"4710",LN229,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4711",LOUNH91,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4712",LOXIMVI,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4713",LP1,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4714",LS123,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4715",LS411N,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4716",LS513,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4717",MALME3M,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4718",MC116,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4719",MCAS,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4720",MCF7,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4721",MDAMB157,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4722",MDAMB175VII,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4723",MDAMB415,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4724",MDAMB436,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4725",MDAMB453,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4726",MDAMB468,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",5.090885788
"4727",MEG01,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4728",MELHO,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4729",MESSA,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4730",MEWO,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4731",MFE280,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4732",MFE296,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4733",MFE319,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4734",MG63,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4735",MHHES1,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4736",MIAPACA2,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4737",MKN45,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",0.259098381
"4738",MKN7,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4739",MOGGCCM,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4740",MOLP8,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4741",MOLT16,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",2.653279781
"4742",MPP89,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4743",MSTO211H,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4744",NCIH1048,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4745",NCIH1092,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4746",NCIH1155,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4747",NCIH1299,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4748",NCIH1341,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4749",NCIH1355,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4750",NCIH1563,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4751",NCIH1568,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4752",NCIH1573,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4753",NCIH1581,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4754",NCIH1648,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4755",NCIH1650,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4756",NCIH1651,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4757",NCIH1666,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4758",NCIH1693,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4759",NCIH1694,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4760",NCIH1703,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4761",NCIH1792,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4762",NCIH1793,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4763",NCIH1869,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4764",NCIH1915,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4765",NCIH1944,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4766",NCIH1975,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4767",NCIH2009,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4768",NCIH2023,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4769",NCIH2030,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4770",NCIH2052,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4771",NCIH2085,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4772",NCIH2087,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4773",NCIH211,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",6.395418167
"4774",NCIH2122,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4775",NCIH2170,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4776",NCIH2172,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4777",NCIH2228,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4778",NCIH226,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4779",NCIH23,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4780",NCIH2444,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4781",NCIH2452,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4782",NCIH28,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4783",NCIH358,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4784",NCIH441,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4785",NCIH460,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4786",NCIH520,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4787",NCIH522,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4788",NCIH647,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4789",NCIH650,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4790",NCIH661,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4791",NCIH727,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4792",NCIH747,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4793",NCIH810,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4794",NCIN87,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4795",NUGC3,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4796",NUGC4,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",3.009513855
"4797",OC314,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4798",OCIAML2,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4799",OCIAML5,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4800",OCUM1,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4801",OE21,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4802",OE33,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4803",ONS76,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4804",OPM2,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4805",OV90,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4806",OVCAR4,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4807",OVCAR8,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4808",OVTOKO,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4809",P12ICHIKAWA,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4810",P31FUJ,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4811",PANC0203,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4812",PANC0327,PHA665752,".0080,.025,.080,.25,.80,2.53,8",8
"4813",PANC0403,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4814",PANC1005,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4815",PATU8902,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4816",PC14,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4817",PC3,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4818",PSN1,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4819",QGP1,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4820",RAJI,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4821",RD,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4822",REH,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4823",RERFGC1B,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4824",RERFLCMS,PHA665752,,
"4825",RKN,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4826",RKO,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4827",RL952,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4828",RPMI7951,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4829",RPMI8402,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",5.857888222
"4830",RT112,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4831",RT4,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4832",RVH421,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4833",SAOS2,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4834",SBC5,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4835",SCABER,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4836",SCC25,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4837",SCC9,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4838",SF126,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4839",SF295,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4840",SHP77,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4841",SIGM5,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",0.449669963
"4842",SIMA,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4843",SJRH30,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4844",SJSA1,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4845",SKCO1,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4846",SKES1,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4847",SKHEP1,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4848",SKLMS1,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4849",SKLU1,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4850",SKMEL2,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4851",SKMEL24,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4852",SKMEL30,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4853",SKMEL31,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",6.313907146
"4854",SKMEL5,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4855",SKMES1,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",1.323563607
"4856",SKMM2,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4857",SKNAS,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4858",SKNDZ,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4859",SKNFI,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4860",SKNSH,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4861",SKOV3,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4862",SNGM,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4863",SNU182,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4864",SNU387,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4865",SNU398,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4866",SNU423,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4867",SNU449,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4868",SNU475,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4869",SU8686,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4870",SUDHL10,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4871",SUDHL4,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",2.310960531
"4872",SUDHL6,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4873",SUDHL8,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",7.086876392
"4874",SUIT2,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",7.365355968
"4875",SUPM2,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4876",SUPT1,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4877",SW1088,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4878",SW1271,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4879",SW1417,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4880",SW1573,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"4881",SW1990,PHA665752,".0025,.0080,.025,.080,.25,.80,2.53,8",8
