"",Cell_Line,Compound,Doses,IC50
"251",NCIH522,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.079639822
"252",NCIH647,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.146558329
"253",NCIH650,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.306331158
"254",NCIH661,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"255",NCIH727,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.347080976
"256",NCIH747,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.084120333
"257",NCIH810,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"258",NCIN87,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.006280354
"259",NUGC3,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.061240714
"260",NUGC4,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.019910261
"261",OC314,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.180269763
"262",OCIAML2,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.088610291
"263",OCIAML5,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.305264801
"264",OCUM1,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.046381559
"265",OE21,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.112160243
"266",OE33,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.058549874
"267",ONS76,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",1.565893888
"268",OPM2,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.666394174
"269",OV90,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.018589249
"270",OVCAR4,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.459155321
"271",OVCAR8,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.146128953
"272",OVTOKO,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.805820227
"273",P12ICHIKAWA,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.594166398
"274",P31FUJ,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.549713969
"275",PANC0203,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.082458355
"276",PANC0327,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.068110488
"277",PANC0403,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.069349982
"278",PANC1005,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.086982444
"279",PATU8902,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.660462797
"280",PC14,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.101145402
"281",PC3,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.388138115
"282",PSN1,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.150998741
"283",QGP1,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.141021386
"284",RAJI,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",2.661648512
"285",RD,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.117055684
"286",REH,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.557084382
"287",RERFGC1B,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",1.931385279
"288",RERFLCMS,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.161490873
"289",RKN,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.574236274
"290",RKO,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.076428831
"291",RL952,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.037230793
"292",RPMI7951,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.015701033
"293",RPMI8402,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.701769114
"294",RT112,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.063486055
"295",RT4,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.058811292
"296",RVH421,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.074710794
"297",SAOS2,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.215714768
"298",SBC5,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.141069055
"299",SCABER,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.077901043
"300",SCC25,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.091868989
"301",SCC9,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.046046477
"302",SF126,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",1.220534086
"303",SF295,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.171886235
"304",SHP77,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.312299043
"305",SIGM5,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.170254305
"306",SIMA,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",1.778700352
"307",SJRH30,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.746346474
"308",SJSA1,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.312380582
"309",SKCO1,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.055818412
